ANTName,ID,LON,LAT,Towerheight,AntRadius
ANT_1,1,-82.90180386,24.60803839,1,500
ANT_2,2,-82.89883775,24.61087352,1,500
ANT_3,3,-82.89587163,24.61370864,1,500
ANT_4,4,-82.89290552,24.61654377,1,500
ANT_5,5,-82.88993941,24.6193789,1,500
ANT_6,6,-82.8869733,24.62221403,1,500
ANT_7,7,-82.88400718,24.62504915,1,500
ANT_8,8,-82.88104107,24.62788428,1,500
ANT_9,9,-82.87807496,24.63071941,1,500
ANT_10,10,-82.87510884,24.60803839,1,500
ANT_11,11,-82.90180386,24.61087352,1,500
ANT_12,12,-82.89883775,24.61370864,1,500
ANT_13,13,-82.89587163,24.61654377,1,500
ANT_14,14,-82.89290552,24.6193789,1,500
ANT_15,15,-82.88993941,24.62221403,1,500
ANT_16,16,-82.8869733,24.62504915,1,500
ANT_17,17,-82.88400718,24.62788428,1,500
ANT_18,18,-82.88104107,24.63071941,1,500
ANT_19,19,-82.87807496,24.60803839,1,500
ANT_20,20,-82.87510884,24.61087352,1,500
ANT_21,21,-82.90180386,24.61370864,1,500
ANT_22,22,-82.89883775,24.61654377,1,500
ANT_23,23,-82.89587163,24.6193789,1,500
ANT_24,24,-82.89290552,24.62221403,1,500
ANT_25,25,-82.88993941,24.62504915,1,500
ANT_26,26,-82.8869733,24.62788428,1,500
ANT_27,27,-82.88400718,24.63071941,1,500
ANT_28,28,-82.88104107,24.60803839,1,500
ANT_29,29,-82.87807496,24.61087352,1,500
ANT_30,30,-82.87510884,24.61370864,1,500
ANT_31,31,-82.90180386,24.61654377,1,500
ANT_32,32,-82.89883775,24.6193789,1,500
ANT_33,33,-82.89587163,24.62221403,1,500
ANT_34,34,-82.89290552,24.62504915,1,500
ANT_35,35,-82.88993941,24.62788428,1,500
ANT_36,36,-82.8869733,24.63071941,1,500
ANT_37,37,-82.88400718,24.60803839,1,500
ANT_38,38,-82.88104107,24.61087352,1,500
ANT_39,39,-82.87807496,24.61370864,1,500
ANT_40,40,-82.87510884,24.61654377,1,500
ANT_41,41,-82.90180386,24.6193789,1,500
ANT_42,42,-82.89883775,24.62221403,1,500
ANT_43,43,-82.89587163,24.62504915,1,500
ANT_44,44,-82.89290552,24.62788428,1,500
ANT_45,45,-82.88993941,24.63071941,1,500
ANT_46,46,-82.8869733,24.60803839,1,500
ANT_47,47,-82.88400718,24.61087352,1,500
ANT_48,48,-82.88104107,24.61370864,1,500
ANT_49,49,-82.87807496,24.61654377,1,500
ANT_50,50,-82.87510884,24.6193789,1,500
ANT_51,51,-82.90180386,24.62221403,1,500
ANT_52,52,-82.89883775,24.62504915,1,500
ANT_53,53,-82.89587163,24.62788428,1,500
ANT_54,54,-82.89290552,24.63071941,1,500
ANT_55,55,-82.88993941,24.60803839,1,500
ANT_56,56,-82.8869733,24.61087352,1,500
ANT_57,57,-82.88400718,24.61370864,1,500
ANT_58,58,-82.88104107,24.61654377,1,500
ANT_59,59,-82.87807496,24.6193789,1,500
ANT_60,60,-82.87510884,24.62221403,1,500
ANT_61,61,-82.90180386,24.62504915,1,500
ANT_62,62,-82.89883775,24.62788428,1,500
ANT_63,63,-82.89587163,24.63071941,1,500
ANT_64,64,-82.89290552,24.60803839,1,500
ANT_65,65,-82.88993941,24.61087352,1,500
ANT_66,66,-82.8869733,24.61370864,1,500
ANT_67,67,-82.88400718,24.61654377,1,500
ANT_68,68,-82.88104107,24.6193789,1,500
ANT_69,69,-82.87807496,24.62221403,1,500
ANT_70,70,-82.87510884,24.62504915,1,500
ANT_71,71,-82.90180386,24.62788428,1,500
ANT_72,72,-82.89883775,24.63071941,1,500
ANT_73,73,-82.89587163,24.60803839,1,500
ANT_74,74,-82.89290552,24.61087352,1,500
ANT_75,75,-82.88993941,24.61370864,1,500
ANT_76,76,-82.8869733,24.61654377,1,500
ANT_77,77,-82.88400718,24.6193789,1,500
ANT_78,78,-82.88104107,24.62221403,1,500
ANT_79,79,-82.87807496,24.62504915,1,500
ANT_80,80,-82.87510884,24.62788428,1,500
ANT_81,81,-82.90180386,24.63071941,1,500
ANT_82,82,-82.89883775,24.60803839,1,500
ANT_83,83,-82.89587163,24.61087352,1,500
ANT_84,84,-82.89290552,24.61370864,1,500
ANT_85,85,-82.88993941,24.61654377,1,500
ANT_86,86,-82.8869733,24.6193789,1,500
ANT_87,87,-82.88400718,24.62221403,1,500
ANT_88,88,-82.88104107,24.62504915,1,500
ANT_89,89,-82.87807496,24.62788428,1,500
ANT_90,90,-82.87510884,24.63071941,1,500
